System Name,Managed State,Tags,IP address,User Name,Last Communication
OCS-L-004187308,Managed,"EEPC Apply, Escalated, Laptop, Workstation",172.31.35.49,Charles.J.Wisotzkey,3/11/20 3:38:36 PM EDT
OCS-L-004187309,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.42.137,Annaclaire.Myrie,3/11/20 4:03:57 PM EDT
OCS-L-004187310,Managed,"EEPC Apply, Escalated, Laptop, Workstation",172.31.13.191,Cuong.Hoang,3/11/20 4:34:08 PM EDT
OCS-L-004187311,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.52.180,James.P.Thomas,3/11/20 4:33:41 PM EDT
OCS-L-004187312,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.49.9,N/A,3/11/20 4:33:20 PM EDT
OCS-L-004187313,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.41.23,"Renee.Galloway,Renee.Galloway.OCS",3/11/20 4:14:29 PM EDT
OCS-L-004187314,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.49.10,lance.roddy,3/11/20 5:04:57 PM EDT
OCS-L-004187315,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.49.66,N/A,3/11/20 4:33:43 PM EDT
OCS-L-004187316,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.52.238,Georgios.Britzolakis,3/11/20 4:47:48 PM EDT
OCS-L-004187317,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.49.60,N/A,3/11/20 4:33:29 PM EDT
OCS-L-004187318,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.0.0.156,Quentin.Stubbs,3/11/20 4:45:52 PM EDT
OCS-L-004187319,Managed,"EEPC Apply, Escalated, Laptop, Workstation",192.168.68.121,Erick.DiFiore,3/11/20 4:42:08 PM EDT
OCS-L-004187320,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.49.32,Sharon.Waggoner,3/11/20 4:32:58 PM EDT
OCS-L-004187321,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.49.18,N/A,3/11/20 4:33:24 PM EDT
OCS-L-004187322,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.49.31,Kenia.Allen,3/11/20 3:33:48 PM EDT
OCS-L-004187362,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.41.22,Chen.Zhang,3/11/20 5:03:44 PM EDT
OCS-L-004187364,Managed,"EEPC Apply, Escalated, Laptop, Workstation",172.31.13.234,Jennifer.Walden,3/11/20 5:03:44 PM EDT
